Method      Route                   Description
======================================================================
GET         /                       Index

GET         /users                  List of all users
GET         /users/:id              Individual user profile
GET         /newaccount             Form to create a new account
POST        /users                  Handle creation of new user profile
GET         /users/:id/edit         Form to edit existing user profile
PUT         /users/:id              Handle updates to user profile
GET         /users/:id/delete       Form to confirm deletion of user account
DELETE      /users/:id              Handle deletion of user account

GET         /blog/:id               Users blog page
GET         /blog/:id/create        Form to create a new blog post
